Brand Name,Year,Car_variant,Selling Price,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Location
Hyundai Creta,2018,1.4 E PLUS CRDI ,901199,31760,Diesel,Manual,1st Owner,New Delhi
MG HECTOR,2019,SHARP DCT PETROL ,1756699,12267,Petrol,Automatic,1st Owner,New Delhi
Honda Jazz,2019,VX EXCLUSIVE CVT ,845099,12740,Petrol,Automatic,1st Owner,New Delhi
Toyota Etios,2014,CROSS VD ,475199,83786,Diesel,Manual,2nd Owner,New Delhi
Maruti Baleno,2019,DELTA 1.2 K12 ,655799,25920,Petrol,Manual,1st Owner,New Delhi
Maruti Baleno,2018,DELTA 1.2 K12 ,595299,23612,Petrol,Manual,1st Owner,New Delhi
Honda Amaze,2016,1.2 SX MT I VTEC ,505599,47490,Petrol,Manual,1st Owner,New Delhi
Hyundai Creta,2015,1.6 S ,862599,40661,Petrol,Manual,1st Owner,New Delhi
Hyundai GRAND I10 NIOS,2020,SPORTZ PETROL ,650099,12327,Petrol,Manual,1st Owner,New Delhi
Honda Jazz,2018,1.2 S MT ,579499,50246,Petrol,Manual,2nd Owner,New Delhi
Hyundai Creta,2019,1.4 S CRDI ,1080899,40333,Diesel,Manual,1st Owner,New Delhi
Honda WR-V,2018,1.2 i-VTEC S MT ,695899,17884,Petrol,Manual,2nd Owner,New Delhi
Honda WR-V,2017,1.2 i-VTEC VX MT ,796124,18715,Petrol,Manual,1st Owner,New Delhi
Maruti Baleno,2019,DELTA 1.2 K12 ,682099,28999,Petrol,Manual,1st Owner,New Delhi
Hyundai Elite i20,2019,1.2 SPORTS PLUS VTVT ,702299,45805,Petrol,Manual,1st Owner,New Delhi
Honda City,2019,V MT PETROL ,907299,41091,Petrol,Manual,1st Owner,New Delhi
Hyundai Grand i10,2017,ASTA 1.2 KAPPA VTVT ,499999,25018,Petrol,Manual,2nd Owner,New Delhi
Hyundai Creta,2015,1.6 SX PLUS PETROL ,863399,69186,Petrol,Manual,1st Owner,New Delhi
Maruti Wagon R 1.0,2015,VXI AMT ,368399,62610,Petrol,Automatic,1st Owner,New Delhi
Hyundai Creta,2015,1.6 S ,831899,71301,Petrol,Manual,1st Owner,New Delhi
MG HECTOR,2019,SHARP DCT PETROL ,1661699,38644,Petrol,Automatic,1st Owner,New Delhi
Maruti Alto K10,2019,VXI ,414699,12404,Petrol,Manual,1st Owner,New Delhi
Mahindra Thar,2021,LX D 4*4 MT HT ,1673799,9439,Diesel,Manual,1st Owner,New Delhi
Ford Ecosport,2016,1.5 TITANIUM TI VCT AT ,627299,51657,Petrol,Automatic,2nd Owner,New Delhi
Maruti Alto,2021,LXI OPT ,417199,5116,Petrol,Manual,1st Owner,New Delhi
Maruti Baleno,2018,DELTA 1.2 K12 ,627399,21569,Petrol,Manual,1st Owner,New Delhi
Maruti New Wagon-R,2020,LXI CNG 1.0 L ,584459,38103,Petrol + CNG,Manual,1st Owner,New Delhi
Maruti XL6,2019,ALPHA SHVS MT ,1077199,17630,Petrol,Manual,1st Owner,New Delhi
Maruti Celerio,2019,ZXI OPT ,512399,43352,Petrol,Manual,1st Owner,New Delhi
Toyota Innova Crysta,2017,2.7 ZX AT 7 STR ,1361999,84205,Petrol,Automatic,1st Owner,New Delhi
Hyundai Creta,2018,1.6 SX CRDI ,1083799,39473,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2019,VDI ,788499,24501,Diesel,Manual,2nd Owner,New Delhi
Maruti IGNIS,2018,DELTA 1.2 K12 AMT ,567899,17025,Petrol,Automatic,1st Owner,New Delhi
Renault Duster,2014,85 PS RXE ,383499,159312,Diesel,Manual,1st Owner,New Delhi
Hyundai Creta,2015,1.6 S ,767299,84649,Petrol,Manual,2nd Owner,New Delhi
Ford Ecosport,2019,1.5 TREND TI VCT ,765899,43463,Petrol,Manual,1st Owner,New Delhi
Audi Q3,2016,35TDI PREMIUM ,1823199,86395,Diesel,Automatic,1st Owner,New Delhi
Maruti Baleno,2019,ZETA 1.2 K12 ,699199,33972,Petrol,Manual,1st Owner,New Delhi
Maruti Dzire,2017,VXI ,544999,97042,Petrol,Manual,1st Owner,New Delhi
Ford Ecosport,2018,1.5TITANIUM TDCI ,826299,33029,Diesel,Manual,1st Owner,New Delhi
Hyundai Creta,2017,1.4 S CRDI ,783399,85928,Diesel,Manual,1st Owner,New Delhi
Maruti S PRESSO,2020,VXI ,437199,15523,Petrol,Manual,1st Owner,New Delhi
Ford Ecosport,2016,1.5 TITANIUM TI VCT ,697099,16228,Petrol,Manual,1st Owner,New Delhi
Audi Q3,2015,35 TDI Quattro ,1550799,51987,Diesel,Automatic,1st Owner,New Delhi
Mahindra XUV500,2013,W8 FWD ,549199,72062,Diesel,Manual,1st Owner,New Delhi
Maruti Alto 800,2018,LXI ,326899,22657,Petrol,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2017,ZDI PLUS DUAL TONE ,833529,37831,Diesel,Manual,1st Owner,New Delhi
Hyundai Elite i20,2015,ASTA 1.4 CRDI ,465099,141436,Diesel,Manual,3rd Owner,New Delhi
Maruti Vitara Brezza,2018,ZDI + AMT ,883499,55470,Diesel,Automatic,1st Owner,New Delhi
Maruti Ritz,2014,VDI ,298299,54894,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2018,VDI ,739599,21269,Diesel,Manual,1st Owner,New Delhi
Maruti Ciaz,2017,VDI+ SHVS ,634599,83108,Diesel,Manual,1st Owner,New Delhi
Ford Ecosport,2014,1.5 TREND TDCI ,446399,38501,Diesel,Manual,1st Owner,New Delhi
BMW X1,2016,SDRIVE 20D ,1619599,30382,Diesel,Automatic,2nd Owner,New Delhi
Ford Ecosport,2019,1.5TITANIUM TDCI ,827999,51505,Diesel,Manual,2nd Owner,New Delhi
Hyundai VENUE,2019,S MT Turbo GDI 1.0L ,824499,31472,Petrol,Manual,1st Owner,New Delhi
Hyundai Elite i20,2015,SPORTZ 1.4 ,491599,45710,Diesel,Manual,1st Owner,New Delhi
Maruti Vitara Brezza,2016,ZDI ,715799,26769,Diesel,Manual,1st Owner,New Delhi
